Icon Type,OPS Icon Class,In Our FA?,Replacement Icon Name,Replacement Link,Notes
OPS FA,fa-thumbtack,No,(Custom SVG Extracted),extracted-svgs/ops-fa-thumbtack-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-trash,No,(Custom SVG Extracted),extracted-svgs/ops-fa-trash-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-trash-alt,No,(Custom SVG Extracted),extracted-svgs/ops-fa-trash-alt-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-trash-can,No,(Custom SVG Extracted),extracted-svgs/ops-fa-trash-can-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-upload,No,(Custom SVG Extracted),extracted-svgs/ops-fa-upload-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-user,No,(Custom SVG Extracted),extracted-svgs/ops-fa-user-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-user-alt,No,(Custom SVG Extracted),extracted-svgs/ops-fa-user-alt-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-user-shield,No,(Custom SVG Extracted),extracted-svgs/ops-fa-user-shield-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-user-unlock,No,(Custom SVG Extracted),extracted-svgs/ops-fa-user-unlock-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
Brand,fa-facebook-f,No,(Custom SVG Extracted),extracted-svgs/ops-fa-facebook-f.svg,Brand SVG extracted (Brands only support single default filled style).
Brand,fa-instagram,No,(Custom SVG Extracted),extracted-svgs/ops-fa-instagram.svg,Brand SVG extracted (Brands only support single default filled style).
Brand,fa-linkedin-in,No,(Custom SVG Extracted),extracted-svgs/ops-fa-linkedin-in.svg,Brand SVG extracted (Brands only support single default filled style).
Brand,fa-youtube,No,(Custom SVG Extracted),extracted-svgs/ops-fa-youtube.svg,Brand SVG extracted (Brands only support single default filled style).
OPS Custom,fa-admin,No,(Custom SVG Extracted),extracted-svgs/ops-fa-admin.svg,Custom SVG extracted (Custom icons only support single default style).
OPS Custom,fa-business-partners,No,(Custom SVG Extracted),extracted-svgs/ops-fa-business-partners.svg,Custom SVG extracted (Custom icons only support single default style).
OPS Custom,fa-dashboard,No,(Custom SVG Extracted),extracted-svgs/ops-fa-dashboard.svg,Custom SVG extracted (Custom icons only support single default style).
OPS Custom,fa-designer-studio,No,(Custom SVG Extracted),extracted-svgs/ops-fa-designer-studio.svg,Custom SVG extracted (Custom icons only support single default style).
OPS Custom,fa-imposition,No,(Custom SVG Extracted),extracted-svgs/ops-fa-imposition.svg,Custom SVG extracted (Custom icons only support single default style).
OPS Custom,fa-ir,No,Not Found,,Could not find this custom icon definition in font/CSS assets (may be obsolete or a typo)
OPS Custom,fa-quote-management,No,(Custom SVG Extracted),extracted-svgs/ops-fa-quote-management.svg,Custom SVG extracted (Custom icons only support single default style).
OPS Custom,fa-templates,No,(Custom SVG Extracted),extracted-svgs/ops-fa-templates.svg,Custom SVG extracted (Custom icons only support single default style).
OPS FA,fa-arrow-down-arrow-up,No,(Custom SVG Extracted),extracted-svgs/ops-fa-arrow-down-arrow-up-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-arrow-down-short-wide,No,(Custom SVG Extracted),extracted-svgs/ops-fa-arrow-down-short-wide-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-arrow-up-short-wide,No,(Custom SVG Extracted),extracted-svgs/ops-fa-arrow-up-short-wide-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
Brand,fa-dropbox,No,(Custom SVG Extracted),extracted-svgs/ops-fa-dropbox.svg,Brand SVG extracted (Brands only support single default filled style).
OPS FA,fa-edit,No,(Custom SVG Extracted),extracted-svgs/ops-fa-edit-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-ellipsis,No,(Custom SVG Extracted),extracted-svgs/ops-fa-ellipsis-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS Custom,fa-payment-request,No,(Custom SVG Extracted),extracted-svgs/ops-fa-payment-request.svg,Custom SVG extracted (Custom icons only support single default style).
OPS FA,fa-save,No,(Custom SVG Extracted),extracted-svgs/ops-fa-save-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-sliders,No,(Custom SVG Extracted),extracted-svgs/ops-fa-sliders-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-square-plus,No,(Custom SVG Extracted),extracted-svgs/ops-fa-square-plus-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-times-circle,No,(Custom SVG Extracted),extracted-svgs/ops-fa-times-circle-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-truck,No,(Custom SVG Extracted),extracted-svgs/ops-fa-truck-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
Brand,fa-whatsapp,No,(Custom SVG Extracted),extracted-svgs/ops-fa-whatsapp.svg,Brand SVG extracted (Brands only support single default filled style).
